name;title;category;tag;blurb;hp;hpperlevel;movespeed;armor;attackrange;hpregen;attackdamage;attackdamageperlevel;attackspeedperlevel
Aatrox;a Darkin penge;Fighter;Fighter,Tank;Aatrox legendás harcos, egy õsi faj, a darkinok utolsó öt megmaradt tagjának egyike. Hatalmas pengéjét könnyedén és kecsesen forgatja – hipnotikus látvány, ahogy ellenségeit tizedeli. Aatrox pengéje mintha életre kelne, és levágott ellenfelei vérét ...;537,8;85;345;24,384;150;6,59;60,376;3,2;3
Ahri;a kilencfarkú róka;Mage;Mage,Assassin;Ellentétben más, Dél-Ionia erdõiben kalandozó rókákkal, Ahri mindig is érzett egy furcsa kapcsolatot az õt körülvevõ mágikus világgal. Egy kapcsolatot, ami valahogy beteljesületlen maradt. Mélyen legbelül valami azt súgta, nem a megfelelõ testbe ...;514,4;80;330;20,88;550;6,505;53,04;3;2
Akali;az árnyék ökle;Assassin;Assassin;Létezik egy õsi, az Ioniai-szigetekrõl származó rend, amelynek küldetése az egyensúly megõrzése. Rend, káosz, fény, sötétség – mindennek tökéletes harmóniát kell alkotnia, az univerzum törvénye szerint. A Kinkou néven ismeretes rend az árnyharcosok ...;587,8;85;350;26,38;125;8,34;58,376;3,2;3,1
Alistar;a minotaurusz;Tank;Tank,Support;Alistar, a Nagy-választóhegység minotaurusz törzseinek valaha élt leghatalmasabb harcosa Valoran számtalan fenyegetésétõl védte meg az övéit, egészen a noxusi sereg érkezéséig. Keiran Darkwill, Boram Darkwill tábornok legkisebb fia és egyben a Noxusi ...;613,36;106;330;24,38;125;8,675;61,1116;3,62;2,125
Amumu;a szomorú múmia;Tank;Tank,Mage;„Az egyedüllét magányosabb a halálnál is.”Amumu egy magányos, szomorú lélek az õsi Shurimából, aki az egész világot bejárja, hogy barátra leljen. Egy nagy erejû átok sújtja, amely örök egyedüllétre kárhoztatja, mert a múmia érintése halált, a ...;613,12;84;335;23,544;125;8,875;53,384;3,8;2,18
Anivia;a jégfõnix;Mage;Mage,Support;Anivia a leghidegebb tél szülötte, a jégmágia misztikus megtestesülése, Freljord õsi védelmezõje. Õ parancsol e vidék minden erejének és haragjának, hogy a hó és a metszõ szél hatalmával védelmezze az otthonát azokkal szemben, akik ártó szándékkal ...;467,6;70;325;21,22;600;5,57;51,376;3,2;1,68
Annie;a sötét gyermek;Mage;Mage;Mindig is akadtak olyanok Noxusban, akik nem értettek egyet a Noxusi Fõparancsnokság által elkövetett gonosztettekkel. A Fõparancsnokság, miután épp leverte a magát trónörökösnek kikiáltó Raschallion herceg puccskísérletét, lecsapni készült mindenkire,...;511,68;76;335;19,22;575;5,42;50,41;2,625;1,36
Ashe;a fagyos íjász;Marksman;Marksman,Support;Minden egyes nyíl, amelyet Ashe õsi, varázserejû jégíjából kilõ, bizonyítja, hogy õ az íjászat mestere. Minden célpontját gondosan választja meg, kivárja a megfelelõ pillanatot, és akkor a kellõ erõvel és tökéletes pontossággal ereszti útjára ...;527,72;79;325;21,212;600;5,42;56,508;2,26;3,33
Aurelion Sol;a csillagok kovácsa;Mage;Mage,Fighter;Aurelion Sol egykor a kozmosz mérhetetlen ürességét töltötte meg saját tervezésû, égi csodáival. Félelmetes erejét most egy ûrutazó birodalom parancsára kénytelen kordában tartani, miután tõrbe csalták, és szolgaságra kényszerítették. Aurelion Sol ...;550;80;325;19;550;6,5;57;3,2;1,36
Azir;a sivatag császára;Mage;Mage,Marksman;„Shurima egykor Runaterra ékköve volt. Gondoskodom róla, hogy ismét azzá legyen.”Azir egyszer régen Shurima halandó császára volt, egy büszke férfi, aki a halhatatlanság kapujában állt. Elvakult gõgjében azonban elárulták, és legnagyobb ...;524,4;80;325;19,04;525;6,92;52;2,8;1,5
